source_en,target_id,word_count_en,word_range,translation,bleu_score,adequacy,fluency,morphosyntactic,semantic,pragmatic
"Archimedes was an ancient Greek thinker , and he taught us that if we lean on the right levers , we can move the world .","Pemikir Yunani kuno Archimedes mengajarkan bahwa jika kita menekan tuas yang tepat , kita bisa menggerakkan dunia .",26,20-30,"Arhimedes adalah seorang pemikir Yunani kuno, dan dia mengajarkan kita bahwa jika kita menopang belah ketegang ke kanan, kita dapat memindahkan dunia.",0.0511315453324071,2,2,2,2,3
"Women have manifested for thousands of years the strength arising from compassion in an unfiltered , unmediated way in perceiving suffering as it is .","Selama ribuan tahun para wanita telah merasakan kekuatan yang bangkit dari kasih sayang tanpa penyaringan , tanpa perantara dalam merasakan penderitaan apa adanya .",25,20-30,"Wanita telah menunjukkan kekuatan yang muncul selama ribuan tahun, berasal dari kasih sayang dalam cara yang tidak terfilter, tidak tertekan, dalam mengamati penderitaan sebagaimana adanya.",0.054609160374687,4,4,4,4,4
And out of that field campaign we 'll probably get a few dozen papers on a few dozen processes or molecules .,Dan dari operasi di lapangan ini kami mungkin mendapat beberapa lusin jurnal tentang beberapa lusin proses atau molekul .,22,20-30,"Dan dari kampanye lapangan ini, kemungkinan kita akan mendapatkan beberapa ratus kertas tentang beberapa ratus proses atau molekul.",0.0402200098075857,3,5,5,3,5
"And just together , that vintage and that chateau took on this aura that eventually kind of gave it this cultish following .","Dan bersama-sama , waktu dan tempat pembuatannya mengambil aura ini yang akhirnya dipuja-puja .",23,20-30,"Dan hanya bersama, vintage itu dan kastil itu, menciptakan aura yang akhirnya memberikan aura ini kepada mereka, sehingga akhirnya menjadi basis penggemar yang sangat setia.",0.0250737833894674,4,4,4,4,4
"There are things that are intrinsically wrong - like lying is wrong , like torturing innocent children is wrong .","Ada banyak yang hal yang salah secara intrinsik - seperti berbohong adalah salah , menganiaya anak kecil adalah salah .",20,20-30,"Ada hal-hal yang secara fundamental salah – seperti berbohong itu salah, seperti mempermalukan anak-anak yang tidak bersalah adalah salah.",0.0288912372014475,3,5,5,3,5
"These people work with the Chinese restaurant model - same principles , different applications and different settings - not the McDonald 's model .",Orang-orang ini bekerja dengan model restoran China Mereka memiliki prinsip yang sama dengan aplikasi dan lingkungan yang berbeda-beda Bukan seperti model McDonald ' s,24,20-30,"Orang-orang ini bekerja dengan model restoran Tiongkok, prinsip yang sama, aplikasi yang berbeda, dan pengaturan yang berbeda – berbeda dengan model McDonald’s.",0.2467352800566394,5,5,5,5,5
"It 's serving the purpose of illumination , but at the same time , we are able to transmit this data .","Jadi berfungsi untuk penerangan , tapi pada saat yang sama juga mengirimkan data ini .",22,20-30,"It berfungsi sebagai penerangan, tetapi kita juga dapat mengirimkan data ini.",0.0329540226819614,4,3,3,4,4
"Many of you may have heard that honeybees are disappearing , not just dying , but they 're gone .","Banyak dari Anda mendengar bahwa lebah madu menghilang bukan hanya sekarat , namun menghilang .",20,20-30,"Banyak dari Anda mungkin sudah dengar bahwa lebah mad sedang menghilang, bukan hanya mati, melainkan benar-benar hilang.",0.0836743713459506,4,3,3,4,4
"We can have what I call this duality of presence , and I think that 's what allows me to tap into these feelings of empathy .","Kita bisa memiliki yang saya sebut dualisme keberadaan , dan menurut saya ini memberi saya perasaan empati .",27,20-30,"Kita bisa memiliki apa yang saya sebut dualitas kehadiran ini, dan saya pikir 'itu' yang memungkinkan saya untuk merasakan perasaan empati ini.",0.0889696287266969,5,4,4,5,5
"You can 't care about clothes if it 's not for the sake of what other people , usually men , will think of you .","Anda tidak bisa peduli pada pakaian Anda kalau bukan demi apa yang akan dipikirkan orang lain , khususnya pria , tentang anda .",26,20-30,"Anda tidak bisa peduli dengan pakaian jika itu tidak untuk sake orang lain, biasanya pria, yang akan berpikir tentang Anda.",0.1357727755005872,3,3,3,3,3
"So we might have a wild idea , but we ' re afraid to share it with anybody else .","Jadi kita mungkin saja punya ide gila , tapi kita takut membagikannya ke siapa pun .",20,20-30,"Kita mungkin punya ide yang gila, tapi kami takut untuk membagikannya dengan siapa pun.",0.0358155076600774,4,5,5,4,5
""" "" We were doing fine , "" "" Venus told me , "" until Brutus started to cause trouble . """,""" "" Kami baik-baik saja , "" "" Venus bilang pada saya , "" sampai Brutus mulai membuat ulah . """,22,20-30,"“Kami baik-baik saja, “ “Venus memberitahu saya, “ “hingga Brutus mulai membuat masalah.”",0.0446565361304056,5,4,4,5,5
"And I am it : I 'm chosen , I 'm unique , I 'm indispensable , I 'm irreplaceable , I 'm the one .","Dan sayalah orangnya : Saya terpilih , saya unik , saya diperlukan , saya tak tergantikan , sayalah orang yang tepat .",26,20-30,"Dan aku itu : Aku ‘dikenal, aku ‘dapatan, aku ‘dapatan, aku ‘dapatan, aku ‘dapatan, aku ‘dapatan yang satu.",0.0113838001222826,1,1,1,1,1
"But I want to tell you , I think it 's an important topic that we need to care about .","Namun saya ingin mengatakan , saya pikir ini adalah topik yang penting yang perlu kita pedulikan .",21,20-30,"Tapi aku ingin memberitahumu, aku pikir ini adalah topik yang penting yang perlu kita perhatikan.",0.4952710182704603,5,5,5,5,5
"We collected data on problems with social gradients , the kind of problems that are more common at the bottom of the social ladder .","Kami mengumpulkan data mengenai masalah dengan lereng sosial , jenis-jenis permasalah yang paling umum pada tingkatan sosial terbawah .",25,20-30,"Kami mengumpulkan data tentang masalah-masalah dengan gradien sosial, jenis masalah yang lebih umum terjadi di dasar tangga sosial.",0.0625059515030911,5,5,5,5,5
"It was way more important to me , about me and my man box card than about Sheila and what was happening to her .",Bagi saya yang lebih penting adalah saya dan kartu kotak laki-laki saya daripada Sheila dan apa yang terjadi padanya .,25,20-30,"It was much more important to me, about me and my man box card than about Sheila and what was happening to her.

**Itu jauh lebih penting bagi saya, tentang saya dan pacarku box card daripada tentang Sheila dan apa yang terjadi padanya.**

(This is a more natural and fluent translation.)",0.0880199769976469,3,3,3,3,3
"Thanks to captive breeding at the San Diego Zoo , there 's 405 of them now , 226 are out in the wild .","Namun berkat pemuliaan tertutup di San Diego , ada 405 ekor burung saat ini , dan 226 diantaranya dilepas di alam .",24,20-30,"Terima kasih karena pemeliharaan penangkaran di San Diego Zoo, ada 405 ekor sekarang, 226 di luar alam liar.",0.0796783023293511,4,4,4,4,5
"30 percent decrease of production in the context of increasing population , that 's a food crisis . It 's global in nature .","Penurunan produksi 30 persen dalam konteks kenaikan populasi , itu artinya krisis pangan . Ini terjadi secara global .",24,20-30,"30 persen penurunan produksi akibat peningkatan populasi, itu adalah krisis pangan global.",0.0314595679231315,4,5,5,4,5
"And in a universe where carbon exists and organic biology , then we have all this wonderful diversity of life .","Dan di alam semesta yang mengandung karbon dan biologi organik , ada semua keragaman kehidupan yang menakjubkan ini .",21,20-30,"Dan dalam alam semesta di mana karbon ada dan biologi organik, maka kita memiliki semua keindahan keanekaragaman kehidupan ini.",0.038292061380205,5,5,5,5,5
"The very first time , at the age of 29 , that day I am touching the sanitary pad , first ever .","Pertama kalinya , di usia 29 tahun , hari di mana saya pertama kalinya menyentuh pembalut wanita .",23,20-30,"Saat pertama kali, pada usia 29 tahun, hari itu, saya menyentuh kondom. Ini adalah pertama kalinya.",0.0302120604463034,1,4,5,1,2
"Our banking industry , our oil and gas industry , our commercial real estate industry , were all at the bottom of the economic scale .","Industri perbankan kami , industri minyak dan gas kami , industri perumahan komersial kami , semua ada pada titik terbawah timbangan ekonomi .",26,20-30,"Industri perbankan, industri minyak dan gas, industri real estat komersial, semuanya berada di peringkat paling bawah dalam skala ekonomi.",0.0463896216256535,5,5,5,5,5
"So a tremendous fund of knowledge despite , again , that so many people told her not to do it , it was too expensive .","Benar-benar sumbangan pengetahuan yang besar , walaupun , kembali , banyak orang menyarankannya untuk tidak melakukannya karena terlalu mahal .",26,20-30,"Jadi, jumlah pengetahuan yang luar biasa, meskipun, kembali lagi, banyak orang mengatakan kepadanya jangan lakukan itu, itu terlalu mahal.",0.0319734098486153,4,4,4,4,4
"You know , for every woman who does die , there are 20 who survive but end up with an injury .","Tahukah Anda , untuk setiap wanita yang meninggal , ada 20 orang yang dapat bertahan hidup tetapi berakhir dengan cedera .",22,20-30,"Anda tahu, untuk setiap wanita yang meninggal, ada 20 yang selamat tetapi berakhir dengan cedera.",0.1869013901117673,5,5,5,5,5
"So quickly , I 'd like to just say , this is the love of my life , my daughter Jay .","Jadi secara singkat , saya ingin mengatakan ini cinta seumur hidup saya , putri saya Jay .",22,20-30,"Jadi cepat, saya ‘dikejar ingin hanya katakan, ini adalah cinta seumur hidupku, putriku Jay.",0.032085837490011,3,2,2,3,3
"Secondly , under the beef protocol of that agreement , African countries that produce beef have quotas to export beef duty-free to the European Union market .","Kedua , dibawah protokol dari kesepakatan tersebut Negara-negara Afrika yang memproduksikan daging sapi mempunyai quota untuk mengekspor daging sapi , bebas bea , ke pasar Uni Eropa .",27,20-30,"Kedua, dalam protokol daging sapi yang ditandatangani tersebut, negara-negara Afrika yang menghasilkan daging sapi memiliki kuota untuk mengekspor daging sapi bebas bea ke pasar Uni Eropa.",0.1619811369314576,5,5,5,5,5
"And the reason he went is because he had a fear of his body image , and he wanted to explore what was underlying that .","Dan alasan dia pergi ke sana karena dia memiliki gambaran buruk mengenai tubuhnya sendiri , dan dia mau mencari tahu penyebabnya .",26,20-30,"Dan alasan dia pergi adalah karena dia memiliki ketakutan terhadap citra tubuhnya, dan dia ingin menjelajahi apa yang mendasarinya.",0.1744444626045207,5,5,5,5,5
"But all that was just a more sophisticated way to manipulate my body - a further disassociation , like planting a vegetable field on a freeway .","Namun semua itu hanyalah cara yang lebih cerdas untuk memanipulasi tubuhku - memisahkannya lebih jauh lagi , seperti menanam sayur di jalan tol .",27,20-30,"Tapi semua itu hanyalah cara yang lebih canggih untuk memanipulasi tubuhku – sebuah terputusnya, seperti menanam ladang sayuran di jalan raya.",0.2882095466244755,4,4,4,4,4
"So of course I had to be interested in human rights , and equality and justice , and using my elbows !","Tentu saya jadi percaya HAM , kesetaraan dan keadilan , dan bagaimana menggunakan sikut saya !",22,20-30,"Tentu saja, saya harus tertarik dengan hak asasi manusia, kesetaraan, keadilan, dan menggunakan lututku!",0.0175110262552054,4,4,4,4,3
Now you can 't just blame this on imperialism - though many people have tried to do so - for two reasons .,Anda tidak bisa menyalahkan imperialisme saja - meskipun banyak orang percaya begitu - karena adanya 2 alasan .,23,20-30,Sekarang kamu tidak hanya bisa menyalahkan ini pada imperialisme – meskipun banyak orang sudah mencoba – karena dua alasan.,0.0712695567709093,5,5,5,5,5
"As the author of the study told me , children who have a sense of - they 're part of a larger narrative have greater self-confidence .","Sebagaimana dikatakan oleh penelitinya kepada saya , anak-anak yang merasa - bahwa mereka adalah bagian dari sebuah cerita yang lebih besar mempunyai rasa percaya diri yang lebih besar .",27,20-30,"Sebagai penulis studi, yang saya dengar, anak-anak yang memiliki rasa - mereka ‘re bagian dari sebuah narasi yang lebih besar, memiliki kepercayaan diri yang lebih tinggi.",0.0737060793003544,3,3,3,3,3
"If you don 't work together with [ The Party ] , you will lead a very bad life .","Jika kalian tidak bekerja sama dengan [ Partai ] , hidup kalian akan menderita .",20,20-30,"Jika Anda tidak bekerja sama dengan [ The Party ], Anda akan menjalani kehidupan yang sangat buruk.",0.2328789695413994,5,5,5,5,5
"No matter whether I 'm facing a giant elephant or a tiny tree frog , my goal is to connect us with them , eye to eye .","Entah saya sedang menghadapi seekor gajah besar atau seekor katak pohon kecil , tujuan saya adalah untuk menghubungkan",28,20-30,"Tidak peduli apakah aku sedang menghadapi seekor naga raksasa atau seekor siput kecil, tujuanku adalah untuk menghubungkan kita dengan mereka, mata ke mata.",0.0783289933000449,2,5,5,2,3
"When I was looking at these pictures , it brought me back many years to my past when I was a child .","Ketika melihat gambar-gambar ini , saya teringat masa lalu saya ketika saya masih kecil .",23,20-30,"Ketika saya melihat gambar-gambar ini, itu membawaku kembali ke masa lalu, ketika saya masih kecil.",0.0925159978069645,4,5,5,4,5
"There are people in the States right now tying themselves into knots , trying to figure out whether or not bloggers are journalists .",Banyak orang di Amerika sekarang ini berpikir keras untuk menentukan apakah blogger itu jurnalis .,24,20-30,"Ada orang di Amerika Serikat sekarang yang mencoba menjatuhkan diri ke dalam pusaran, mencoba menentukan apakah blogger adalah jurnalis.",0.0880842486556532,3,4,4,3,4
"So we have a whole battery of new constructions that are developing , and yet it 's easy to think , well , something is still wrong .","Jadi kita punya cukup baterai untuk satu konstruksi baru yang sedang berkembang . Namun mudah bagi kita untuk berpikir , yah , masih saja ada sesuatu yang salah .",28,20-30,"Kita memiliki seluruh rangkaian konstruksi baru yang sedang berkembang, namun mudah untuk berpikir, ya, sesuatu masih salah.",0.0840528509957702,5,5,5,5,5
"This was different than either generation had experienced before , and it changed the way I interacted with information even at just a small level .","Hal ini berbeda dibandingkan apa yang generasi lain telah alami , dan itu telah merubah cara saya berinteraksi dengan informasi bahkan di ukuran yang kecil .",26,20-30,"Ini berbeda dari generasi mana pun yang pernah dialami sebelumnya, dan itu mengubah cara saya berinteraksi dengan informasi, bahkan hanya pada tingkat kecil.",0.1222574796727697,4,5,5,4,5
"When Proctor & Gamble went from 26 different kinds of Head & Shoulders to 15 , they saw an increase in sales by 10 percent .","Ketika Proctor & Gamble mengubah 26 macam Head & Shoulders menjadi 15 , mereka melihat peningkatan penjualan menjadi 10 persen .",26,20-30,"Ketika Procter & Gamble dari 26 jenis Head & Shoulders menjadi 15, mereka melihat peningkatan penjualan sebesar 10 persen.",0.267712644243596,4,4,4,4,5
"So Biosphere 2 was essentially a three-acre , entirely sealed , miniature world that I lived in for two years and 20 minutes .",Jadi Biosfer 2 adalah dunia miniatur seluas 3 hektar benar-benar tertutup yang saya tinggali selama 2 tahun dan 20 menit .,24,20-30,"Jadi Biosphere 2 sebenarnya adalah area tiga hektar, sepenuhnya tertutup, dunia miniatur yang saya tinggali selama dua tahun dan 20 menit.",0.1969221590285716,5,5,5,5,5
"A girl , if you 're lucky , in the corner of a dark room - lucky to be able to look at the Koran .","Seorang gadis , jika beruntung , di sudut ruangan gelap - cukup beruntung untuk dapat melihat Al-Quran .",26,20-30,"Seorang gadis, jika kamu beruntung, di sudut ruangan gelap - beruntung bisa melihat koran.",0.2314024593353985,2,5,5,2,3
"And when you 're outdoors , that type of air has microbes that are commonly associated with plant leaves and with dirt .","Dan saat Anda di luar , udara luar mengandung mikroba yang umumnya berhubungan dengan daun dan tanah .",23,20-30,"Dan ketika Anda berada di luar ruangan, jenis udara tersebut memiliki mikroorganisme yang umumnya terkait dengan daun-daun tanaman dan dengan tanah.",0.0334579460980364,5,5,5,5,5
"So , the ant colony is a great model : you have all these little parts that collectively add up to a great thing .",Jadi koloni semut contoh yang baik - ada bagian-bagian kecil yang secara secara kolektif ditambahkan menjadi hal besar .,25,20-30,"Jadi, koloni semut adalah model yang luar biasa : Anda memiliki semua bagian-bagian kecil ini yang bersama-sama menghasilkan sesuatu yang hebat.",0.0302326671308559,5,5,5,5,5
"And what 's nice about it is it 's not something that biasing people actually , because as one face smiles , the other face frowns .","dan hal yang bagus adalah ini sebenarnya tidak membuat orang berprasangka , karena jika satu wajah tersenyum , wajah yang lain menjadi cemberut .",27,20-30,"Dan yang bagusnya itu, itu bukan sesuatu yang memengaruhi orang sebenarnya, karena satu wajah tersenyum, wajah lainnya memerah.",0.0223885782685283,3,4,4,3,4
"As one doctor in Cairo summed it up for me , "" "" Here , sex is the opposite of sport .","Seorang dokter di Kairo menyimpulkannya untuk saya , "" "" Di sini , seks adalah kebalikan dari olahraga .",22,20-30,"Sebagai seorang dokter di Kairo, dia menambahkan, ““Di sini, seks adalah lawan dari olahraga.”""",0.0316033774488748,4,3,3,4,4
"Sometimes two reasons to do the same thing seem to compete with one another instead of complimenting , and they make people less likely to do it .",Kadang kedua alasan untuk melakukan hal yang sama tadi sepertinya bersaing satu sama lain bukannya saling mendukung dan itu memperkecil kemungkinan orang melakukan hal tadi,28,20-30,"Kadang-kadang, dua alasan untuk melakukan hal yang sama tampak bersaing satu sama lain, daripada mengagumi, dan membuat orang kurang mungkin untuk melakukannya.",0.2484946987738027,3,4,4,3,4
"Can we imagine a criminal justice system that prioritizes recovery , prevention , civic inclusion , rather than punishment ?","Bayangkan sistem peradilan pidana yang memprioritaskan perbaikan , pencegahan , keterlibatan sipil , alih-alih penghukuman .",20,20-30,"Bisakah kita membayangkan sistem keadilan pidana yang memprioritaskan pemulihan, pencegahan, inklusi sipil, daripada hukuman?",0.0658520194984426,5,5,5,5,5
"He was trying to tell people how they should live through the medium of sermons , the classic medium of delivery of religions .","Dia mencoba memberi tahu orang-orang bagaimana mereka bisa hidup melalui medium khotbah , medium klasik penyampaian agama-agama .",24,20-30,"Dia mencoba menyampaikan cara hidup melalui media khotbah, media penyampaian yang klasik dari agama.",0.035526288970524,4,5,5,4,5
"And I hold this penny in the palm of my hand , and it 's sticky and rusty , but it feels like I 'm holding a fortune .","Dan saya memegang uang sen ini di tangan , uang itu lengket dan usang , tetapi tetap saja seperti memegang uang banyak .",29,20-30,"Dan aku memegang koin ini di telapak tangan, dan itu lengket dan berkarat, tapi rasanya seperti memegang kekayaan.",0.0633804184350959,4,5,5,4,5
"I 'm not quite sure how , but it turned up in my inbox , and it was from a guy called Solomon Odonkoh .","Entah bagaimana , tapi email ini masuk ke inbox saya , dan pengirimnya adalah seseorang bernama Solomon Odonkoh .",25,20-30,"Saya tidak yakin persis bagaimana, tapi ternyata di inbox saya, dan itu dari seorang pria bernama Solomon Odonkoh.",0.0271726417391751,4,4,4,4,5
"And Atlantic-Heydt , who 's the largest scaffolding contractor in the country , volunteered to do it at cost .","Dan Atlantic-Heydt , kontraktor scaffolding terbesar di negara ini , bersedia tidak dibayar .",20,20-30,"Dan Atlantic-Heydt, siapa yang merupakan kontraktor scaffolding terbesar di negara ini, bersedia melakukannya dengan biaya sendiri.",0.2490328638846773,4,4,4,4,4
"Luckily , there are several species of milkweed that they can use , and all these milkweeds have cardenolides in them .","Untungnya , ada beberapa spesies milkweed yang bisa dipakai , dan semuanya mengandung kardenolida .",22,20-30,"Untungnya, mereka memiliki beberapa spesies tanaman milkweed yang bisa mereka gunakan, dan semua tanaman milkweed ini mengandung cardenolides.",0.0731259728094692,5,5,5,5,5
