source_en,target_id,word_count_en,word_range,translation,bleu_score,adequacy,fluency,morphosyntactic,semantic,pragmatic
"Archimedes was an ancient Greek thinker , and he taught us that if we lean on the right levers , we can move the world .","Pemikir Yunani kuno Archimedes mengajarkan bahwa jika kita menekan tuas yang tepat , kita bisa menggerakkan dunia .",26,20-30,"Arkimedis adalah seorang pemikir Yunani kuno dan diajarkan kita bahwa jika kita bergantung pada tali yang tepat , kita bisa memindahkan dunia.",0.2376515294974776,3,4,4,3,4
"Women have manifested for thousands of years the strength arising from compassion in an unfiltered , unmediated way in perceiving suffering as it is .","Selama ribuan tahun para wanita telah merasakan kekuatan yang bangkit dari kasih sayang tanpa penyaringan , tanpa perantara dalam merasakan penderitaan apa adanya .",25,20-30,"Istri telah mengungkapkan kekuatan yang berasal dari empati dalam cara yang tidak terfilter, tidak diintegrasikan dalam pengamatan penderitaan seperti sebenarnya.",0.0219433363683653,2,3,3,2,3
And out of that field campaign we 'll probably get a few dozen papers on a few dozen processes or molecules .,Dan dari operasi di lapangan ini kami mungkin mendapat beberapa lusin jurnal tentang beberapa lusin proses atau molekul .,22,20-30,Dan keluar dari kampanye lapangan tersebut kita mungkin akan mendapatkan beberapa puluh tulisan terkait beberapa puluh proses atau molekul.,0.0304525555598282,5,5,5,5,5
"And just together , that vintage and that chateau took on this aura that eventually kind of gave it this cultish following .","Dan bersama-sama , waktu dan tempat pembuatannya mengambil aura ini yang akhirnya dipuja-puja .",23,20-30,"Dan hanya bersama-sama itu , vintage dan chateau yang kuno itu mengambil aura ini yang akhirnya sedikit memberikan kepengaruhnya untuk ikut-ikutan terhadap penggemarnya.",0.178551492991616,3,3,3,3,3
"There are things that are intrinsically wrong - like lying is wrong , like torturing innocent children is wrong .","Ada banyak yang hal yang salah secara intrinsik - seperti berbohong adalah salah , menganiaya anak kecil adalah salah .",20,20-30,"Ada hal-hal yang salah secara alami - seperti menyangkal benar adalah salah, seperti memukul anak-anak yang tidak bersalah adalah salah.",0.069416815300936,2,3,3,2,3
"These people work with the Chinese restaurant model - same principles , different applications and different settings - not the McDonald 's model .",Orang-orang ini bekerja dengan model restoran China Mereka memiliki prinsip yang sama dengan aplikasi dan lingkungan yang berbeda-beda Bukan seperti model McDonald ' s,24,20-30,"Orang-orang ini bekerja dengan model restoran Cina - prinsip-prinsip yang sama, aplikasi dan setting yang berbeda-beda - bukan model McDonald's.",0.2498215973376983,5,5,5,5,5
"It 's serving the purpose of illumination , but at the same time , we are able to transmit this data .","Jadi berfungsi untuk penerangan , tapi pada saat yang sama juga mengirimkan data ini .",22,20-30,"Ini berfungsi untuk iluminasi , tetapi pada saat yang sama , kita dapat mengirimkan data ini .",0.3222538601891173,5,5,5,5,5
"Many of you may have heard that honeybees are disappearing , not just dying , but they 're gone .","Banyak dari Anda mendengar bahwa lebah madu menghilang bukan hanya sekarat , namun menghilang .",20,20-30,"Banyak dari kalian mungkin sudah mengetahui bahwa semut madu punah, tidak hanya mati , tapi benar benar tiada .",0.0294527436548002,3,4,4,3,4
"We can have what I call this duality of presence , and I think that 's what allows me to tap into these feelings of empathy .","Kita bisa memiliki yang saya sebut dualisme keberadaan , dan menurut saya ini memberi saya perasaan empati .",27,20-30,"Kita bisa memiliki apa yang saya sebut dengan dualitas kehadiran itu , dan saya pikir itu adalah apa yang memungkinkan saya untuk mengejar perasaan empati .",0.0933958444465623,4,4,4,4,4
"You can 't care about clothes if it 's not for the sake of what other people , usually men , will think of you .","Anda tidak bisa peduli pada pakaian Anda kalau bukan demi apa yang akan dipikirkan orang lain , khususnya pria , tentang anda .",26,20-30,"Anda tidak perlu peduli dengan pakaian jika bukan untuk keperluan apa yang orang lain , biasanya pria , akan pikir tentang Anda.",0.0759324580165675,5,5,5,5,5
