source_en,target_id,word_count_en,word_range,translation,bleu_score,adequacy,fluency,morphosyntactic,semantic,pragmatic
"Archimedes was an ancient Greek thinker , and he taught us that if we lean on the right levers , we can move the world .","Pemikir Yunani kuno Archimedes mengajarkan bahwa jika kita menekan tuas yang tepat , kita bisa menggerakkan dunia .",26,20-30,"Archimedes adalah peneliti ahli Yunani sebelumnya, dan ia mengajarkan kita bahwa jika kita menarik pada lembeknya, kita mampu menggerakkan dunia.",0.0609051111196565,3,3,3,3,3
"Women have manifested for thousands of years the strength arising from compassion in an unfiltered , unmediated way in perceiving suffering as it is .","Selama ribuan tahun para wanita telah merasakan kekuatan yang bangkit dari kasih sayang tanpa penyaringan , tanpa perantara dalam merasakan penderitaan apa adanya .",25,20-30,"Laki-laki menunjukkan kekuatan dari perasaan compassion tanpa penjelasan, tanpa pihak lain, dalam mengekspresikan perasaan sakit sebegitu.",0.0111564135045264,1,2,2,1,2
And out of that field campaign we 'll probably get a few dozen papers on a few dozen processes or molecules .,Dan dari operasi di lapangan ini kami mungkin mendapat beberapa lusin jurnal tentang beberapa lusin proses atau molekul .,22,20-30,"Dan dari program tersebut, mungkin kita mendapat beberapa dozen bukti, beberapa dozen proses, atau molekul.",0.034824442597762,3,3,3,3,3
"And just together , that vintage and that chateau took on this aura that eventually kind of gave it this cultish following .","Dan bersama-sama , waktu dan tempat pembuatannya mengambil aura ini yang akhirnya dipuja-puja .",23,20-30,"Dan hanya bersama, bahwa karya dan chateau tersebut menunjukkan aura yang sekarang menghasilkan pendukung yang sekarang ini justru mengakini.",0.0152262777799141,2,2,2,2,2
"There are things that are intrinsically wrong - like lying is wrong , like torturing innocent children is wrong .","Ada banyak yang hal yang salah secara intrinsik - seperti berbohong adalah salah , menganiaya anak kecil adalah salah .",20,20-30,"Ada hal-hal yang salah secara intrinsik – seperti penyelesaian yang salah, seperti tindakan pembunuhan terhadap anak-anak tidak sehat.",0.1383802825788367,2,3,3,2,3
"These people work with the Chinese restaurant model - same principles , different applications and different settings - not the McDonald 's model .",Orang-orang ini bekerja dengan model restoran China Mereka memiliki prinsip yang sama dengan aplikasi dan lingkungan yang berbeda-beda Bukan seperti model McDonald ' s,24,20-30,"Mereka berkerja dengan model restoran China - prinsip yang sama, penggunaan berbeda, dan lokasi berbeda - bukan model McDonald.",0.1282024574474428,4,4,4,4,4
"It 's serving the purpose of illumination , but at the same time , we are able to transmit this data .","Jadi berfungsi untuk penerangan , tapi pada saat yang sama juga mengirimkan data ini .",22,20-30,"Saya membantu tujuan pencahayaan, sama sekali, kami dapat memperolehkan data ini.",0.0155829952171827,2,2,2,2,2
"Many of you may have heard that honeybees are disappearing , not just dying , but they 're gone .","Banyak dari Anda mendengar bahwa lebah madu menghilang bukan hanya sekarat , namun menghilang .",20,20-30,"Banyak dari Anda mungkin telah mengetahui bahwa honeybebek menghilang, tidak hanya mati, tapi mereka 'menghilang'.",0.0743299818451363,2,2,2,2,2
"We can have what I call this duality of presence , and I think that 's what allows me to tap into these feelings of empathy .","Kita bisa memiliki yang saya sebut dualisme keberadaan , dan menurut saya ini memberi saya perasaan empati .",27,20-30,"Saya dapat memiliki dualitas kehadiranan, dan saya percaya bahwa ""itu itu yang membuat saya bisa mengalirkan empati ini.""",0.01757079221363,3,3,3,3,3
"You can 't care about clothes if it 's not for the sake of what other people , usually men , will think of you .","Anda tidak bisa peduli pada pakaian Anda kalau bukan demi apa yang akan dipikirkan orang lain , khususnya pria , tentang anda .",26,20-30,"Saya tidak perlu khawatir tentang pakaian jika itu bukan demi apa yang orang lain, biasanya, akan menyayalku.",0.1232029154146339,2,2,2,2,2
"So we might have a wild idea , but we ' re afraid to share it with anybody else .","Jadi kita mungkin saja punya ide gila , tapi kita takut membagikannya ke siapa pun .",20,20-30,"Maka kita mungkin punya ide yang tidak terduga, tetapi kita takut untuk menyebutkan itu kepada siapa pun.",0.0437882686586079,5,5,5,5,5
""" "" We were doing fine , "" "" Venus told me , "" until Brutus started to cause trouble . """,""" "" Kami baik-baik saja , "" "" Venus bilang pada saya , "" sampai Brutus mulai membuat ulah . """,22,20-30,""" Saya sedang baik-baiknya, Venus mengatakan, 'Saya sedang baik-baiknya, ' sampai saat itu, Brutus mulai memicu peristiwa.""",0.0241745564497235,2,2,2,2,3
"And I am it : I 'm chosen , I 'm unique , I 'm indispensable , I 'm irreplaceable , I 'm the one .","Dan sayalah orangnya : Saya terpilih , saya unik , saya diperlukan , saya tak tergantikan , sayalah orang yang tepat .",26,20-30,"Saya itu, saya dipilih, saya unik, saya penting, saya irreplaceable, saya itu.",0.0104688461970397,3,3,3,3,3
"But I want to tell you , I think it 's an important topic that we need to care about .","Namun saya ingin mengatakan , saya pikir ini adalah topik yang penting yang perlu kita pedulikan .",21,20-30,"Namun, saya ingin Anda beritahau, saya beri tahu Anda, itu sesuatu topik penting yang kita perlu berhati-hati.",0.0409103265388024,3,2,2,3,3
"We collected data on problems with social gradients , the kind of problems that are more common at the bottom of the social ladder .","Kami mengumpulkan data mengenai masalah dengan lereng sosial , jenis-jenis permasalah yang paling umum pada tingkatan sosial terbawah .",25,20-30,"Kami mengumpulkan data tentang masalah yang ada di tingkat kesuksesan sosial, jenis masalah yang lebih umum di bawah tingkat kesuksesan sosial.",0.0537621294693616,3,4,4,3,4
"It was way more important to me , about me and my man box card than about Sheila and what was happening to her .",Bagi saya yang lebih penting adalah saya dan kartu kotak laki-laki saya daripada Sheila dan apa yang terjadi padanya .,25,20-30,"Pertama, lebih penting untuk saya dan pakaian saya daripada Sheila dan apa yang terjadi dengannya.",0.3449668526586288,2,3,3,2,3
"Thanks to captive breeding at the San Diego Zoo , there 's 405 of them now , 226 are out in the wild .","Namun berkat pemuliaan tertutup di San Diego , ada 405 ekor burung saat ini , dan 226 diantaranya dilepas di alam .",24,20-30,"Saya menghormati keberadaan 405 hewan ini yang dikeluarkan di Zoo San Diego, dan 226 hewan lainnya yang masih hidup di luar kandang.",0.025128589800333,2,3,3,2,3
"30 percent decrease of production in the context of increasing population , that 's a food crisis . It 's global in nature .","Penurunan produksi 30 persen dalam konteks kenaikan populasi , itu artinya krisis pangan . Ini terjadi secara global .",24,20-30,"Menurun produksi dalam konteks peningkatan populasi, itu adalah masalah makanan. Itu bersifat global.",0.0246287329627749,3,4,4,3,4
"And in a universe where carbon exists and organic biology , then we have all this wonderful diversity of life .","Dan di alam semesta yang mengandung karbon dan biologi organik , ada semua keragaman kehidupan yang menakjubkan ini .",21,20-30,"Dan di dalam sebuah universa di mana karbon ada dan biologi organik, maka kita memiliki semua kehidupan yang beragam.",0.0412754853283514,4,4,4,4,4
"The very first time , at the age of 29 , that day I am touching the sanitary pad , first ever .","Pertama kalinya , di usia 29 tahun , hari di mana saya pertama kalinya menyentuh pembalut wanita .",23,20-30,"Pertama kali di usia 29, pagi hari saya mengapungkan pakaian kesehatan, pertama kali.",0.0294355498343348,2,2,2,2,3
"Our banking industry , our oil and gas industry , our commercial real estate industry , were all at the bottom of the economic scale .","Industri perbankan kami , industri minyak dan gas kami , industri perumahan komersial kami , semua ada pada titik terbawah timbangan ekonomi .",26,20-30,"Industri kewarganegaraan, industri minyasa dan gas, dan industri properti usaha bisnis, semuanya di bawah kisaran ekonomi.",0.0112315709416216,2,2,2,2,2
"So a tremendous fund of knowledge despite , again , that so many people told her not to do it , it was too expensive .","Benar-benar sumbangan pengetahuan yang besar , walaupun , kembali , banyak orang menyarankannya untuk tidak melakukannya karena terlalu mahal .",26,20-30,"Maka, sebuah pemandu besar pengetahuan meskipun, sama sekali, banyak orang mengingatkan untuk tidak mengambil itu, sehingga sangat mahal.",0.0319931647204462,3,3,3,3,3
"You know , for every woman who does die , there are 20 who survive but end up with an injury .","Tahukah Anda , untuk setiap wanita yang meninggal , ada 20 orang yang dapat bertahan hidup tetapi berakhir dengan cedera .",22,20-30,"Saya tahu, setiap wanita yang meninggal, ada 20 orang yang hidup tetapi mengalami insiden.",0.1738081683649444,4,4,4,4,4
"So quickly , I 'd like to just say , this is the love of my life , my daughter Jay .","Jadi secara singkat , saya ingin mengatakan ini cinta seumur hidup saya , putri saya Jay .",22,20-30,"Sama sekali, saya ingin hanya menyatakan, ini cinta saya, saudarnya Jay.",0.0326740750406352,2,2,2,2,2
"Secondly , under the beef protocol of that agreement , African countries that produce beef have quotas to export beef duty-free to the European Union market .","Kedua , dibawah protokol dari kesepakatan tersebut Negara-negara Afrika yang memproduksikan daging sapi mempunyai quota untuk mengekspor daging sapi , bebas bea , ke pasar Uni Eropa .",27,20-30,"Kedua, di antara protocol beku dalam perjanjian tersebut, negara-negara Afrika yang menghasilkan beku memiliki batas untuk melepas beku bebas ke pasar pasar Eropa.",0.022056343452565,2,2,2,2,2
"And the reason he went is because he had a fear of his body image , and he wanted to explore what was underlying that .","Dan alasan dia pergi ke sana karena dia memiliki gambaran buruk mengenai tubuhnya sendiri , dan dia mau mencari tahu penyebabnya .",26,20-30,"Karena alasan itu, dia menghadapi perasaan tentang kebugaran tubuhnya, dan ingin mencoba apa yang ada di bawah itu.",0.0113838001222826,3,4,4,3,4
"But all that was just a more sophisticated way to manipulate my body - a further disassociation , like planting a vegetable field on a freeway .","Namun semua itu hanyalah cara yang lebih cerdas untuk memanipulasi tubuhku - memisahkannya lebih jauh lagi , seperti menanam sayur di jalan tol .",27,20-30,"Namun, itu hanya bentuk yang lebih kompleks untuk mengontrol tubuhku - keterkawalannya seperti menanam pohon di jalan tol.",0.0346152126138296,3,4,4,3,4
"So of course I had to be interested in human rights , and equality and justice , and using my elbows !","Tentu saya jadi percaya HAM , kesetaraan dan keadilan , dan bagaimana menggunakan sikut saya !",22,20-30,"Mungkin juga saya perlu tahu adanya human rights, adanya keseimbangan, dan keadilan, serta menggunakan saya!",0.0162738899551079,2,2,2,2,2
Now you can 't just blame this on imperialism - though many people have tried to do so - for two reasons .,Anda tidak bisa menyalahkan imperialisme saja - meskipun banyak orang percaya begitu - karena adanya 2 alasan .,23,20-30,"Sekarang, kamu tidak bisa hanya menyalahkan ini terhadap kekuatan imperialism - meskipun banyak orang sudah menyalahkan itu untuk dua alasan.",0.1481394578697113,4,4,4,4,4
"As the author of the study told me , children who have a sense of - they 're part of a larger narrative have greater self-confidence .","Sebagaimana dikatakan oleh penelitinya kepada saya , anak-anak yang merasa - bahwa mereka adalah bagian dari sebuah cerita yang lebih besar mempunyai rasa percaya diri yang lebih besar .",27,20-30,"Sama saja, penulis studi itu mengatakan, anak-anak yang memiliki kepercayaan diri dalam konteks ini lebih mampu menghadapi hidupnya.",0.0147444863383133,3,4,4,3,4
"If you don 't work together with [ The Party ] , you will lead a very bad life .","Jika kalian tidak bekerja sama dengan [ Partai ] , hidup kalian akan menderita .",20,20-30,"Jika Anda tidak bekerja bersama dengan [Partai], maka Anda akan mendapat hidup buruk.",0.0370760924184185,4,5,5,4,5
"No matter whether I 'm facing a giant elephant or a tiny tree frog , my goal is to connect us with them , eye to eye .","Entah saya sedang menghadapi seekor gajah besar atau seekor katak pohon kecil , tujuan saya adalah untuk menghubungkan",28,20-30,"Meskipun aku berada di situasi menghadapi tukung besar atau binatang tumbuhan, tujuan saya adalah untuk membangun hubungan dengan mereka, dengan mata kita.",0.1336412760311249,3,3,3,3,3
